0,Platform,Party,Bioguide ID,Number of Active Accounts,Max Total Followers,Total Posts,Average Post Favorites/Reactions,Average Post Retweets/Shares
1,facebook,R,A000055,1,22404,325,108,35
2,facebook,R,A000360,2,57405,677,177,23
3,facebook,(R),A000367,2,140238,57,2197,495
4,facebook,R,A000369,1,9376,89,118,18
5,facebook,D,A000370,2,19146,612,54,10
6,facebook,D,A000371,2,11086,317,137,15
7,facebook,R,A000372,2,147433,673,76,14
8,facebook,R,A000374,2,69133,1347,503,180
9,facebook,R,A000375,2,45163,568,148,26
10,facebook,D,A000376,2,21259,1409,102,9
11,facebook,R,A000377,2,8721,954,92,11
12,facebook,D,A000378,2,8354,1047,63,7
13,facebook,D,B000490,2,12601,264,72,17
14,facebook,D,B000574,1,51637,408,318,30
15,facebook,R,B000575,2,64427,584,198,22
16,facebook,R,B000755,2,35325,1651,48,15
17,facebook,D,B000944,2,227783,645,1016,440
18,facebook,R,B001135,1,27914,83,491,49
19,facebook,D,B001230,2,170627,602,438,54
20,facebook,R,B001236,2,40983,699,96,15
21,facebook,R,B001243,2,147926,1679,635,96
22,facebook,R,B001248,1,8328,378,120,15
23,facebook,R,B001250,1,6687,87,115,12
24,facebook,D,B001251,1,10568,279,80,19
25,facebook,R,B001257,2,77654,1527,82,45
26,facebook,R,B001260,2,56647,370,302,55
27,facebook,R,B001261,2,35115,359,177,26
28,facebook,D,B001267,2,163858,1751,448,84
29,facebook,D,B001270,2,53144,875,85,26
30,facebook,R,B001274,2,52824,533,231,74
31,facebook,R,B001275,2,28665,592,69,12
32,facebook,D,B001277,2,79667,325,265,30
33,facebook,D,B001278,2,23675,679,88,8
34,facebook,D,B001281,2,45552,1095,196,39
35,facebook,R,B001282,2,49197,686,129,31
36,facebook,R,B001284,2,40397,376,68,8
37,facebook,D,B001285,2,21126,1191,84,10
38,facebook,D,B001286,2,52066,1491,104,14
39,facebook,D,B001287,2,32702,401,82,7
40,facebook,D,B001288,2,2334224,1505,1424,155
41,facebook,R,B001289,2,47325,2930,178,55
42,facebook,R,B001291,2,66355,1159,194,55
43,facebook,D,B001292,2,39886,1408,235,54
44,facebook,R,B001295,2,38210,905,251,40
45,facebook,D,B001296,2,14727,585,99,10
46,facebook,R,B001297,2,32008,434,138,24
47,facebook,R,B001298,2,12780,2166,82,6
48,facebook,R,B001299,2,24402,1301,163,31
49,facebook,D,B001300,1,8331,896,93,13
50,facebook,R,B001301,2,21754,638,255,36
51,facebook,R,B001302,2,33819,1741,257,52
52,facebook,D,B001303,2,23097,321,179,29
53,facebook,D,B001304,2,46131,547,94,21
54,facebook,R,B001305,2,34349,1174,174,26
55,facebook,R,B001306,2,4445,402,42,4
56,facebook,R,B001307,2,7352,420,41,5
57,facebook,D,B001308,2,28763,1753,114,11
58,facebook,R,B001309,2,15492,483,215,31
59,facebook,R,B001310,2,67710,634,468,53
60,facebook,R,B001311,1,10618,57,372,113
61,facebook,R,C000059,2,23929,201,253,54
62,facebook,D,C000127,1,55448,398,425,49
63,facebook,D,C000141,2,37221,366,231,30
64,facebook,D,C000174,2,20215,477,105,11
65,facebook,R,C000266,2,14852,507,76,6
66,facebook,D,C000537,2,50538,660,117,25
67,facebook,D,C000754,2,20323,495,97,16
68,facebook,R,C000880,2,14294,513,77,10
69,facebook,D,C000984,2,153157,178,772,83
70,facebook,R,C001035,2,106603,1033,199,19
71,facebook,R,C001047,2,72825,1752,129,21
72,facebook,D,C001049,1,3183,367,77,15
73,facebook,R,C001051,2,43204,1095,62,14
74,facebook,R,C001053,2,27766,469,65,13
75,facebook,D,C001055,1,1287,661,23,2
76,facebook,R,C001056,2,524629,1359,442,71
77,facebook,D,C001059,2,7078,822,58,9
78,facebook,D,C001061,2,31789,340,173,26
79,facebook,R,C001062,2,12611,740,56,9
80,facebook,D,C001063,2,25214,1053,50,6
81,facebook,D,C001066,2,16765,965,55,7
82,facebook,D,C001067,2,21542,645,20,4
83,facebook,D,C001068,2,31110,991,113,16
84,facebook,D,C001069,2,25444,811,80,25
85,facebook,D,C001070,2,110423,456,826,104
86,facebook,D,C001072,2,29115,406,152,20
87,facebook,R,C001075,2,116591,1950,216,37
88,facebook,D,C001078,2,19085,241,84,11
89,facebook,D,C001080,2,22021,358,108,27
90,facebook,D,C001084,2,26545,839,217,50
91,facebook,D,C001088,2,64541,1445,275,46
92,facebook,D,C001090,2,23172,704,137,17
